x,y,mon,target_temp,target_RH,target_wind,target_rain,prev_temp,prev_RH,prev_wind,prev_rain,prev_avg_neighbor_temp,prev_avg_neighbor_RH,prev_avg_neighbor_wind,prev_avg_neighbor_rain
1,2,aug,20.78333333333333,43.583333333333336,4.033333333333333,0.0,15.700000000000001,65.5,6.7,0.0,13.4,79.0,3.6,0.0
1,2,sep,22.68,30.4,2.22,0.0,20.78333333333333,43.583333333333336,4.033333333333333,0.0,24.564285714285717,34.5,4.008928571428572,0.0
1,3,sep,19.919999999999998,48.4,4.64,0.0,27.35,32.5,4.125,0.0,21.249299719887954,44.6703431372549,3.9585084033613445,0.0
1,4,aug,19.0,52.833333333333336,3.866666666666667,0.0,23.4,31.0,5.4,0.0,21.966666666666665,48.0,3.3000000000000003,0.0
1,4,sep,19.5875,43.625,3.325,0.0,19.0,52.833333333333336,3.866666666666667,0.0,24.715098039215686,39.78823529411765,4.092058823529411,0.0
2,2,aug,21.77857142857143,36.5,3.8928571428571437,0.0,13.4,79.0,3.6,0.0,15.700000000000001,65.5,6.7,0.0
2,2,sep,19.44,38.4,4.220000000000001,0.0,21.77857142857143,36.5,3.8928571428571437,0.0,24.066666666666666,38.04166666666667,4.079166666666667,0.0
2,4,sep,21.325000000000003,39.875,3.075,0.0,23.435294117647057,45.76470588235294,4.041176470588234,0.0,21.3495,45.736666666666665,4.390333333333333,0.0
2,5,jul,21.966666666666665,48.0,3.3000000000000003,0.0,22.7,40.0,9.4,0.0,19.2,38.0,4.5,0.0
2,5,aug,23.360000000000003,41.1,4.11,0.0,21.966666666666665,48.0,3.3000000000000003,0.0,21.15,40.33333333333333,4.116666666666667,0.0
2,5,sep,18.660000000000004,46.4,2.58,0.0,23.360000000000003,41.1,4.11,0.0,19.868198529411764,50.21200980392157,4.4394607843137255,0.0
2,5,oct,15.4,35.0,0.9,0.0,18.660000000000004,46.4,2.58,0.0,19.525694444444444,43.98611111111111,3.0402777777777774,0.0
3,4,mar,13.6875,29.0,5.762499999999999,0.0,10.75,41.5,2.45,0.0,12.149999999999999,54.0,2.9,0.0
3,4,aug,19.4375,50.25,4.050000000000001,0.0,18.9,49.666666666666664,2.8333333333333335,0.0,24.0,39.16666666666667,2.7750000000000004,0.0
3,4,sep,19.791666666666668,45.166666666666664,4.191666666666667,0.0,19.4375,50.25,4.050000000000001,0.0,21.664453781512606,45.89173669467787,4.258529411764706,0.006666666666666667
3,4,oct,20.6,24.0,5.4,0.0,19.791666666666668,45.166666666666664,4.191666666666667,0.0,19.27171130952381,41.53511904761905,3.459776785714286,0.0
3,5,sep,15.05,41.0,2.9000000000000004,0.0,17.6,52.0,5.8,0.0,21.85055882352941,47.062941176470595,4.020235294117647,0.008
3,5,oct,15.9,46.0,3.6,0.0,15.05,41.0,2.9000000000000004,0.0,19.57540816326531,43.54608843537415,3.1974829931972795,0.0
4,3,aug,22.571428571428577,38.285714285714285,3.7,0.0,27.833333333333332,31.666666666666668,3.4,0.0,20.5,41.888888888888886,4.377777777777777,0.0
4,3,sep,19.0375,49.625,3.3875,0.0,22.571428571428577,38.285714285714285,3.7,0.0,21.377261904761905,49.01666666666667,4.567142857142858,0.08
4,3,oct,13.8,50.0,2.7,0.0,19.0375,49.625,3.3875,0.0,20.373630952380953,40.5202380952381,3.5443452380952385,0.0
4,4,apr,16.7,20.0,3.1,0.0,14.1,36.833333333333336,4.316666666666666,0.0,13.59097222222222,36.083333333333336,5.320138888888888,0.0
4,4,aug,21.979999999999997,50.8,4.78,0.04,23.3,37.0,3.1,0.0,22.23333333333333,40.08333333333333,3.6833333333333336,0.0
4,4,sep,19.142857142857142,42.214285714285715,3.435714285714286,0.0,21.979999999999997,50.8,4.78,0.04,20.110535714285714,52.32261904761905,4.340238095238096,0.03333333333333333
4,4,oct,18.4,25.0,3.1,0.0,19.142857142857142,42.214285714285715,3.435714285714286,0.0,19.199583333333333,40.94305555555555,3.471527777777778,0.0
4,5,mar,15.975000000000001,33.5,5.375,0.0,12.149999999999999,54.0,2.9,0.0,12.033333333333331,43.666666666666664,3.4166666666666665,0.0
